2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Абакус Прайм, СЭ|--
Абакус Ультра, СЭ|--
Абига-Пик, ВС|--
Абидос, ВР|Адекват, ВР; Альфа-Дикват, ВР; Волат, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Лост, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Абруста, КС |--
Аваксс, КЭ |Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Авангард, КЭ|Анаконда, КЭ; Бегин, КЭ; Гуд-Харвест С-Метолахлор, КЭ; Джиндур, КЭ; Дифилайн, КЭ; Дуал Голд, КЭ; Душанс, КЭ; Метолс, КЭ; Ранголи-Дон, КЭ; Селена, КЭ; Симба, КЭ; Стрим, КЭ; Телус, КЭ; Хевимет, КЭ;
Авант, КЭ|--
Авантикс 100, КЭ|Акбарс, КЭ;
Авантикс Турбо, МД |--
Авантикс Экстра, ЭМВ|Ибис, ЭМВ; Ирбис, ЭМВ; Оцелот Плюс, КЭ; Тайгер, ЭМВ; Фабрис, ЭМВ; Феноксоп 7.5, ЭМВ; Фокстрот, ВЭ; Шансюген, ВЭ;
Авиаль, КЭ|Фолиант, КЭ;
Аврорекс, КЭ |--
Агат-25 Супер, ТПС|--
Агент, ВДГ|Альфа-Амиприд, РП; Газель, РП; Гринда, РП; Моспилан, РП; Снейк, РП; 
Агритокс, ВК|Агрошанс, ВК;  Аметил, ВРК; Гербитокс, ВРК; Линтаплант, ВК;
Агроксон, ВР|Дикопур М, ВР;
Агро-Лайт, ВРК |Девайс Ультра, ВРК; Диома, ВРК; Евро-Лайтнинг, ВРК; Евро-Ленд, ВРК; Еврошанс, ВРК; Имквант Супер, ВРК; Импекс Дуо, ВРК; Каптора, ВРК; Мантра, ВРК; Сотейра, ВРК;
Агролекарь, КЭ|Пеон, КЭ; Прогноз, КЭ; Профи, КЭ; Профикс, КЭ; Скиф, КЭ; Тилт, КЭ; Тимус, КЭ; Атлант, КЭ; Пропи Плюс, КЭ; ПропиШанс, КЭ; Титан, КЭ; Чистофлор, КЭ;
Агрон Гранд, ВДГ|Клео, ВДГ; Клопер 750, ВДГ; Клопирид, ВДГ; Лонтерр, ВДГ; Лонтрел гранд, ВДГ; Монолит, ВДГ; Приклад, ВДГ; Силард, ВДГ; Сонхус, ВДГ; Чермен, ВДГ; Хакер, ВРГ;
Агрон, ВР|Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Агроника Гранд, МД|--
Агроника, КС|Дублон, СК; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Агростар Гранд, ВДГ |--
Агростар, ВДГ|Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
АгроСтимул, ВЭ|Лариксифол, ВЭ; 
Агростимулин, ВСР|--
Агротех-Гарант-22, КЭ|Бетаниум 22, КЭ; Бельведер, СЭ; Бетахим 22, КЭ ; Бетацвай, КЭ ; Беташанс Дабл, КЭ; Бетинол 22, КЭ ; Бифор 22, ВСК; Бифор 22, КЭ ; Вымпел 2, КЭ; Доцент, КЭ; Секира Дуэт, КС; Секунда, КЭ; Эксперт 22, КЭ; Эксперт Некст, КС; Бетанал 22, КЭ;
Агрошанс, ВК|Агритокс, ВК; Аметил, ВРК; Гербитокс, ВРК; Линтаплант, ВК; 
Адванс, ВДГ|--
Адвокат, ВР|Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР; Банвел, ВР;
Адекват, ВР|Абидос, ВР; Альфа-Дикват, ВР; Волат, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Лост, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Адексар, КЭ|--
Аденго, КС|--
Адмирал, КЭ|Иноксифен, КЭ;
Азорит, СК|Амистар Нэкст, МД; Амистар Экстра, СК; Стробишанс Про, СК; Триактив Экстра, КС;
Азорро, КС|--
Айвенго, КЭ|Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Айкон, КЭ|Аминка ЭФ, КЭ; Левират, КЭ; Топтун, КЭ; Эфирам, КЭ; Эффект, КЭ; 
Аканто Плюс, КС |--
Акарб, ВДГ|Инсегар, ВДГ; Фазис, ВДГ; Фора, СП; 
Акардо, ККР|--
Акбарс, КЭ|Авантикс 100, КЭ;
Акзифор, КЭ|Акзифор, КЭ 1009; Босфор, КЭ; Галиган, КЭ; Гаур, КЭ; Гоал 2Е, КЭ; Пиранья, КЭ; 
Акзифор, КЭ 1009|Аксифор, КЭ; Босфор, КЭ; Галиган, КЭ; Гаур, КЭ; Гоал 2Е, КЭ; Пиранья, КЭ; 
Акиба, ВСК|Табу, ВСК;
Аккорд, КЭ|Айвенго, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
